Country or Area;Commodity - Transaction;Year;Unit;Quantity;Quantity Footnotes;Kmq;Continents
Austria;Electricity - total solar production;2011;Kilowatt-hours, million;174;;83870;Europe
Austria;Electricity - total solar production;2010;Kilowatt-hours, million;89;;83870;Europe
Austria;Electricity - total solar production;2009;Kilowatt-hours, million;49;;83870;Europe
Austria;Electricity - total solar production;2008;Kilowatt-hours, million;30;;83870;Europe
Austria;Electricity - total solar production;2007;Kilowatt-hours, million;24;;83870;Europe
Austria;Electricity - total solar production;2006;Kilowatt-hours, million;22;;83870;Europe
Austria;Electricity - total solar production;2005;Kilowatt-hours, million;21;;83870;Europe
Austria;Electricity - total solar production;2004;Kilowatt-hours, million;18;;83870;Europe
Austria;Electricity - total solar production;2003;Kilowatt-hours, million;15;;83870;Europe
Austria;Electricity - total solar production;2002;Kilowatt-hours, million;9;;83870;Europe
Austria;Electricity - total solar production;2001;Kilowatt-hours, million;5;;83870;Europe
Austria;Electricity - total solar production;2000;Kilowatt-hours, million;3;;83870;Europe
Austria;Electricity - total solar production;1999;Kilowatt-hours, million;2;;83870;Europe
Austria;Electricity - total solar production;1998;Kilowatt-hours, million;2;;83870;Europe
Austria;Electricity - total solar production;1997;Kilowatt-hours, million;2;;83870;Europe
Austria;Electricity - total solar production;1996;Kilowatt-hours, million;1;;83870;Europe
Austria;Electricity - total solar production;1995;Kilowatt-hours, million;1;;83870;Europe
Austria;Electricity - total solar production;1994;Kilowatt-hours, million;1;;83870;Europe
Austria;Electricity - total solar production;1993;Kilowatt-hours, million;1;;83870;Europe
Azerbaijan;Electricity - total solar production;2018;Kilowatt-hours, million;393;;86600;Asia
Azerbaijan;Electricity - total solar production;2017;Kilowatt-hours, million;37;;86600;Asia
Azerbaijan;Electricity - total solar production;2016;Kilowatt-hours, million;35;;86600;Asia
Azerbaijan;Electricity - total solar production;2015;Kilowatt-hours, million;5;;86600;Asia
Azerbaijan;Electricity - total solar production;2014;Kilowatt-hours, million;3;;86600;Asia
Azerbaijan;Electricity - total solar production;2013;Kilowatt-hours, million;1;;86600;Asia
Bahrain;Electricity - total solar production;2018;Kilowatt-hours, million;9;1;765;Asia
Bahrain;Electricity - total solar production;2017;Kilowatt-hours, million;9;1;765;Asia
Bahrain;Electricity - total solar production;2016;Kilowatt-hours, million;9;;765;Asia
Bahrain;Electricity - total solar production;2015;Kilowatt-hours, million;9;;765;Asia
Bangladesh;Electricity - total solar production;2018;Kilowatt-hours, million;2913;;147570;Asia
Bangladesh;Electricity - total solar production;2017;Kilowatt-hours, million;2683;;147570;Asia
Bangladesh;Electricity - total solar production;2016;Kilowatt-hours, million;233;;147570;Asia
Bangladesh;Electricity - total solar production;2015;Kilowatt-hours, million;210;;147570;Asia
Bangladesh;Electricity - total solar production;2014;Kilowatt-hours, million;173;;147570;Asia
Bangladesh;Electricity - total solar production;2013;Kilowatt-hours, million;136;;147570;Asia
Barbados;Electricity - total solar production;2018;Kilowatt-hours, million;4409;;431;South America
Barbados;Electricity - total solar production;2017;Kilowatt-hours, million;3774;;431;South America
Barbados;Electricity - total solar production;2016;Kilowatt-hours, million;2655;;431;South America
Barbados;Electricity - total solar production;2015;Kilowatt-hours, million;14;;431;South America
Barbados;Electricity - total solar production;2014;Kilowatt-hours, million;10;;431;South America
Barbados;Electricity - total solar production;2013;Kilowatt-hours, million;4;;431;South America
Barbados;Electricity - total solar production;2012;Kilowatt-hours, million;3;;431;South America
Barbados;Electricity - total solar production;2011;Kilowatt-hours, million;3;;431;South America
Barbados;Electricity - total solar production;2010;Kilowatt-hours, million;2;;431;South America
Barbados;Electricity - total solar production;2009;Kilowatt-hours, million;1;;431;South America
Belarus;Electricity - total solar production;2019;Kilowatt-hours, million;179;;207600;Europe
Belarus;Electricity - total solar production;2018;Kilowatt-hours, million;118;;207600;Europe
Belarus;Electricity - total solar production;2017;Kilowatt-hours, million;89;;207600;Europe
Belarus;Electricity - total solar production;2016;Kilowatt-hours, million;28;;207600;Europe
Belarus;Electricity - total solar production;2015;Kilowatt-hours, million;8;;207600;Europe
Belarus;Electricity - total solar production;2014;Kilowatt-hours, million;1;;207600;Europe
Belgium;Electricity - total solar production;2018;Kilowatt-hours, million;3902;;30528;Europe
Belgium;Electricity - total solar production;2017;Kilowatt-hours, million;3307;;30528;Europe
